经典力学,牛顿第一定律
经典力学,牛顿第二定律
经典力学,牛顿第三定律
运动,匀速运动
运动,匀加速运动
运动,匀减速运动
运动,平抛运动
运动,类平抛运动
运动,匀速圆周运动
力,重力
力,支持力
力,压力
力,摩檫力
摩擦力,静摩擦力
摩擦力,动摩擦力
力,向心力
力,电磁力
力,万有引力
力,电场力
力,库伦力
力,洛伦兹力
力,安培力
凸透镜,光屏
凸透镜,凹镜
凸透镜,实像
凹镜,球面镜
镜面反射,漫反射
漫反射,反射光线
负电荷,对撞机
入射角,反射光线
密度,质量
质量,动能
响度,音品
万有引力,动量
虚像,实像
虚像,凸透镜成像情况
响度,声音
光强,入射光强度
磁场,电流
电磁感应,运动电荷
半导体,超导体
正电荷,负电荷
匀速圆周运动,落体运动
大气压强,托里拆利
马德堡半球,大气压强
大气压强,大气压
电路,电流表
电流表,电压表
强电解质,溶质
电势,电场
电场,电场强度
弧,角速度
角速度,线速度
晶体,石英
合场强,场源电荷
液体传感器,蜂鸣器
电势强度,电场强度
电磁感应,电场
光子,逸出功
光量子,逸出功
光电效应,逸出功
勒纳德,逸出功
托里拆利,水银柱
动量守恒定律,动量定理
定滑轮,滑轮组
各向异性,多晶体
蜂鸣器,集成块
质点,简谐波
自感现象,自感电动势
双耳效应,传导性
动量,动能
匀变速曲线运动,匀变速运动
法线,反射光线
楞次定律,法拉第电磁感应
电阻,电压
感应电动势,感应电流
匀变速直线运动,加速度
速度,角速度
速度,初速度
速度,末速度
速度,合速度
速度,分速度
速度,线速度
加速度,重力加速度
加速度,向心加速度
直线运动,匀速直线运动
直线运动,匀变速直线运动
直线运动,匀加速直线运动
守恒定律,电荷守恒定律
守恒定律,动量守恒定律
守恒定律,能量守恒定律
守恒定律,机械能守恒定律
压强,液体压强
压强,流体压强
压强,气体压强
压强,大气压强
